Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code,User,Time_of_Day,Date
12/03/2020 at 8:06:56 pm EST,Crewmate,Loss,8,Yes,Yes,15m 55s,No,0.0,12m 19s,--,NA / OYBICF,2,Evening,12/03/2020
12/03/2020 at 7:48:17 pm EST,Crewmate,Loss,4,No,Yes,09m 18s,No,1.0,-,---,NA / OYBICF,2,Evening,12/03/2020
12/03/2020 at 7:31:25 pm EST,Crewmate,Win,5,Yes,Yes,05m 03s,No,0.0,04m 23s,++,NA / VNPIUF,2,Evening,12/03/2020
12/03/2020 at 1:07:17 am EST,Crewmate,Win,3,No,Yes,03m 19s,No,0.0,-,,NA / SRWHUF,2,Night,12/03/2020
12/03/2020 at 1:00:27 am EST,Crewmate,Loss,6,No,Yes,06m 05s,No,0.0,-,---,NA / KDDNNF,2,Night,12/03/2020
12/03/2020 at 12:30:26 am EST,Crewmate,Loss,0,No,No,05m 06s,No,0.0,-,,NA / BMMJHF,2,Night,12/03/2020
12/02/2020 at 7:27:59 pm EST,Crewmate,Loss,0,No,No,00m 18s,No,0.0,-,,NA / UBXJNF,2,Evening,12/02/2020
12/02/2020 at 7:17:08 pm EST,Crewmate,Win,5,No,No,04m 52s,No,0.0,-,,NA / UBXJNF,2,Evening,12/02/2020
12/02/2020 at 1:59:59 am EST,Crewmate,Win,8,Yes,Yes,11m 19s,No,0.0,05m 39s,++,NA / XTKBJF,2,Night,12/02/2020
12/02/2020 at 1:44:17 am EST,Crewmate,Loss,2,No,Yes,05m 00s,No,0.0,-,---,NA / CIHHNF,2,Night,12/02/2020
12/02/2020 at 1:38:30 am EST,Crewmate,Loss,8,Yes,No,11m 19s,No,1.0,07m 40s,--,NA / CIHHNF,2,Night,12/02/2020
12/02/2020 at 1:21:58 am EST,Crewmate,Win,2,No,Yes,05m 59s,No,1.0,-,++,NA / LPGKOF,2,Night,12/02/2020
12/02/2020 at 12:50:54 am EST,Crewmate,Win,1,No,No,04m 28s,No,1.0,-,,NA / UPSRFF,2,Night,12/02/2020
12/02/2020 at 12:45:26 am EST,Crewmate,Loss,7,No,Yes,02m 57s,No,0.0,-,,NA / TAPDDF,2,Night,12/02/2020
