User,Team,Outcome,Game Length,Imposter Kills,Ejected,Night,Morning,Afternoon,Evening
25,0,0,353,2,0,0,0,0,1
25,0,0,976,3,1,0,0,1,0
25,0,1,744,3,0,0,0,1,0
25,0,0,994,5,1,0,0,1,0
26,0,1,741,2,1,0,0,1,0
26,0,1,189,2,0,0,0,1,0
26,0,1,520,3,0,0,0,1,0
26,0,1,73,0,0,0,0,0,1
26,0,0,414,1,1,0,0,0,1
26,0,0,311,2,1,0,0,0,1
26,0,0,868,2,1,0,0,0,1
26,0,1,288,0,0,0,0,1,0
26,0,1,790,3,0,0,0,1,0
26,0,0,852,2,0,0,0,1,0
26,0,1,606,2,0,0,0,1,0
27,0,1,265,1,0,0,0,1,0
27,0,1,307,2,0,0,0,1,0
27,0,0,383,4,0,0,0,1,0
27,0,0,414,1,1,0,0,0,1
27,0,1,267,2,0,0,0,1,0
27,0,0,131,1,1,0,0,0,1
27,0,1,337,1,0,0,0,0,1
27,0,1,95,0,0,0,0,0,1
27,0,1,177,2,0,0,0,1,0
27,0,0,338,2,1,0,0,1,0
27,0,1,173,2,0,0,0,1,0
27,0,1,300,3,0,0,0,0,1
27,0,1,132,1,0,0,0,1,0
27,0,1,119,1,0,0,1,0,0
27,0,1,136,1,0,0,0,0,1
27,0,0,503,2,1,0,0,1,0
27,0,0,107,1,1,0,0,1,0
27,0,1,202,2,0,0,0,1,0
27,0,1,196,2,0,0,0,1,0
27,0,1,127,2,0,0,1,0,0
28,0,1,507,1,0,0,0,0,1
28,0,1,219,1,0,0,0,0,1
28,0,1,802,2,0,0,0,0,1
28,0,1,802,2,0,0,0,0,1
28,0,0,375,1,1,0,0,0,1
28,0,0,376,1,1,0,0,0,1
28,0,1,728,1,0,0,0,1,0
28,0,1,728,1,0,0,0,1,0
28,0,0,632,2,1,0,0,1,0
28,0,0,632,2,1,0,0,1,0
29,0,1,315,2,0,0,1,0,0
29,0,1,844,0,0,0,1,0,0
29,0,0,356,3,0,0,1,0,0
29,0,0,1050,2,0,0,1,0,0
29,0,1,614,2,0,0,1,0,0
29,0,0,956,1,0,0,1,0,0
29,0,0,850,2,0,0,1,0,0
